DevType,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OfficeStackAsyncHaveWorkedWith,OfficeStackSyncHaveWorkedWith,AISearchDevHaveWorkedWith,ConvertedCompYearly
Data or business analyst,Bash/Shell (all shells);Julia;Lua;Python;R;SQL,Databricks SQL;Microsoft SQL Server,Databricks,NA,NA,Tidyverse,NA,Neovim;RStudio;Vim,Azure Devops;Markdown File;Obsidian,Microsoft Teams,ChatGPT;Claude,75159
"Developer, AI",Bash/Shell (all shells);C;Lisp;MATLAB;Python;SQL,MySQL;SQLite,NA,NA,GNU GCC;LLVM's Clang;Rasberry Pi,Keras;NumPy;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Make;Pip,Vim,Confluence,Cisco Webex Teams;Discord;Google Meet;Mattermost;Microsoft Teams;Slack;Zoom,NA,130000
"Developer, AI",C++;Java;JavaScript;Kotlin;Python;TypeScript,NA,Amazon Web Services (AWS);Google Cloud,NA,CMake;GNU GCC;LLVM's Clang,Keras;NumPy;OpenGL;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Dagger;Google Test;Homebrew;Kubernetes;Make;Pip,Android Studio;IntelliJ IDEA,NA,Google Chat;Google Meet,Google Gemini,400000
Data or business analyst,R,NA,Amazon Web Services (AWS),NA,Rasberry Pi,Tidyverse,NA,RStudio;Visual Studio Code,NA,Google Meet;Zoom,ChatGPT;GitHub Copilot,21481
Data scientist or machine learning specialist,Go;Python;R;SQL,BigQuery;MongoDB;MySQL;PostgreSQL,Google Cloud;Microsoft Azure,NA,NA,Keras;NumPy;Opencv;Pandas;Ruff;Scikit-Learn;TensorFlow;Tidyverse,Docker;Pip,Goland;Jupyter Notebook/JupyterLab;PyCharm;RStudio;Spyder;Visual Studio Code,Confluence;Jira;Markdown File;Notion;Trello,Discord;Microsoft Teams;Zoom,ChatGPT;Codeium;GitHub Copilot;Google Gemini,53703
Data or business analyst,HTML/CSS;JavaScript;Python;R;SQL;VBA,Microsoft SQL Server,Heroku;Microsoft Azure,Flask;Node.js,NA,Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Homebrew;npm;Pip,Jupyter Notebook/JupyterLab;RStudio;Vim;Visual Studio Code,GitHub Discussions;Markdown File;Microsoft Planner,Discord;Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot;Google Gemini,35000
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;OCaml;Python;SQL,BigQuery;SQLite,NA,NA,NA,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow,Docker;Pip,IPython;Jupyter Notebook/JupyterLab;Nano;Notepad++;Visual Studio Code,Confluence;Jira;Markdown File;Miro,Microsoft Teams;Whatsapp;Zoom,Bing AI;ChatGPT;WolframAlpha,107406
Data engineer,Python;SQL,BigQuery;PostgreSQL,Amazon Web Services (AWS);Google Cloud,NA,NA,NumPy;Pandas,Docker;Homebrew;Kubernetes;Terraform,DataGrip;Vim;Visual Studio Code,Notion,Slack,ChatGPT;GitHub Copilot;Perplexity AI,250000
Data or business analyst,JavaScript;PHP;SQL;TypeScript,BigQuery;Microsoft Access;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,Angular;AngularJS;Laravel,Arduino;Rasberry Pi,.NET (5+) ,Composer;npm,Android Studio;IntelliJ IDEA;Spyder,Jira,Discord;Google Chat;Mattermost;Microsoft Teams;Skype,Bing AI;ChatGPT;GitHub Copilot;Google Gemini,53703
Data engineer,C#;Go;PowerShell;Python;SQL,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Docker;Kubernetes;MSBuild;Terraform;Visual Studio Solution,Visual Studio;Visual Studio Code,Azure Devops;Jira;Microsoft Planner,Microsoft Teams,Bing AI;Visual Studio Intellicode,170000
Data engineer,Java;JavaScript;Python,Neo4J,Google Cloud;Microsoft Azure,Angular;Express;FastAPI;Node.js,NA,Apache Kafka;Apache Spark;NumPy,Docker;Homebrew;Make;Maven (build tool),IntelliJ IDEA;PyCharm;Vim;Visual Studio Code,Confluence;Jira;Markdown File,Discord;Microsoft Teams;Slack;Zoom,NA,140000
Data engineer,Python;SQL,Databricks SQL;DuckDB;MongoDB;MySQL;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Databricks;Google Cloud;Heroku;Netlify;Vercel,Django;FastAPI;Flask;Gatsby,NA,Apache Spark;NumPy;Pandas;RabbitMQ;Scikit-Learn,Docker;Kubernetes;Pip;Terraform,IntelliJ IDEA,Airtable;GitHub Discussions;Jira;Monday.com;Notion;Obsidian;Stack Overflow for Teams,Google Meet;Slack;Zoom,NA,245000
Data engineer,C;Python;SQL,Cosmos DB;Microsoft SQL Server,Microsoft Azure,NA,CMake;GNU GCC;LLVM's Clang;MSVC,CUDA;GTK;Qt,Docker;Make;Pacman;Pip,Visual Studio Code,Azure Devops;Jira;Markdown File,Discord;Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot,180000
Data engineer,C++;HTML/CSS;Java;PHP;PowerShell;Python;SQL;TypeScript,BigQuery;Clickhouse;Cosmos DB;Databricks SQL;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Databricks;Google Cloud;Microsoft Azure,FastAPI;Flask,NA,Apache Kafka;Apache Spark;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes;Maven (build tool);npm;Pip;Terraform,Goland;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio;Visual Studio Code,Confluence;Jira;Notion;Trello,Google Meet;Microsoft Teams;Slack;Telegram,Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini,444
Data engineer,HTML/CSS;JavaScript;Python;R;SQL;TypeScript,BigQuery;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Vercel,Next.js;Node.js;React;WordPress,NA,Apache Spark;GTK;mlflow;NumPy;Pandas;React Native;Scikit-Learn,Docker;Godot;Homebrew;Pip;pnpm;Terraform;Vite,Jupyter Notebook/JupyterLab;Neovim;Visual Studio Code,Confluence;Jira;Lucid;Markdown File;Obsidian,Discord;Microsoft Teams;Slack;Zoom,GitHub Copilot;Perplexity AI,47259
Data engineer,Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL,Cassandra;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle,Amazon Web Services (AWS),Express;FastAPI;Flask;Next.js;Node.js;React;Vue.js,NA,Hadoop;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn,APT;Chocolatey;Docker;Maven (build tool);npm;Pip,Jupyter Notebook/JupyterLab;Visual Studio Code,Wikis,Microsoft Teams,ChatGPT;GitHub Copilot;WolframAlpha,8951
Data scientist or machine learning specialist,Python;SQL,NA,Amazon Web Services (AWS),NA,NA,NumPy;Pandas;Ruff;Scikit-Learn,Docker;Pip,Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Jira,Microsoft Teams,ChatGPT;GitHub Copilot,95592
Data engineer,Bash/Shell (all shells);C;C#;C++;Cobol;HTML/CSS;Java;JavaScript;Julia;Perl;PHP;PowerShell;Python;R;Rust;SQL;VBA;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MySQL,NA,NA,Rasberry Pi,NumPy;Pandas;Tidyverse;Torch/PyTorch,APT;Make;Pacman;Pip,Eclipse;Jupyter Notebook/JupyterLab;Nano;Netbeans;Notepad++;RStudio;Spyder;Visual Studio;Visual Studio Code,NA,Discord;Google Meet;Microsoft Teams;Skype;Zoom,NA,46000
Data scientist or machine learning specialist,Bash/Shell (all shells);C;JavaScript;Python;SQL,NA,NA,NA,NA,CUDA;NumPy;Torch/PyTorch,Docker,Vim;Visual Studio Code,Confluence,Slack,GitHub Copilot;Perplexity AI,300000
Data scientist or machine learning specialist,R,Oracle,NA,NA,NA,Tidyverse,NA,RStudio,NA,Microsoft Teams;Zoom,NA,155000
Data engineer,Bash/Shell (all shells);Python;SQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud,NA,NA,NumPy;Pandas;Scikit-Learn,Docker;Homebrew;Pip,DataGrip;Jupyter Notebook/JupyterLab;Nano;PyCharm;Visual Studio Code,Confluence;GitHub Discussions;Notion,Discord;Google Meet;Microsoft Teams;Slack,ChatGPT;GitHub Copilot,36779
Data scientist or machine learning specialist,Bash/Shell (all shells);C#;PowerShell;Python;SQL,Cassandra;Cosmos DB;Databricks SQL;Elasticsearch;Microsoft SQL Server;Redis;SQLite,Databricks;Microsoft Azure,ASP.NET CORE;Flask,Rasberry Pi,.NET (5+) ;Apache Spark;mlflow;NumPy;Pandas;RabbitMQ;Scikit-Learn,APT;Docker;Homebrew;Kubernetes;Make;Pip;Visual Studio Solution,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio;Visual Studio Code,Azure Devops;Confluence;Jira;Miro,Google Meet;Microsoft Teams;Slack,ChatGPT;GitHub Copilot;Visual Studio Intellicode,63370
Data scientist or machine learning specialist,Bash/Shell (all shells);PowerShell;Python;SQL,Databricks SQL;MySQL;PostgreSQL;Snowflake,Amazon Web Services (AWS);Databricks;Google Cloud,WordPress,NA,Keras;NumPy;Pandas;Scikit-Learn,Homebrew;Make;Yarn,DataGrip;IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Confluence;Jira,Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot;WolframAlpha,120000
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,BigQuery;PostgreSQL,Google Cloud,NA,NA,CUDA;NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,Docker;Pip,PyCharm;Vim;Xcode,NA,Slack;Whatsapp;Zoom,ChatGPT,161905
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,BigQuery,Google Cloud;PythonAnywhere,NA,Rasberry Pi,NumPy;Pandas;Scikit-Learn,NA,IPython;Jupyter Notebook/JupyterLab;Vim,Asana;Notion;Obsidian,Discord;Slack,ChatGPT;Codeium,250000
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,BigQuery,Google Cloud,FastAPI,NA,NumPy;Pandas;Scikit-Learn,Docker,Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Jira,Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,ChatGPT;WolframAlpha,17772
Data engineer,Groovy;Java;Python;Ruby;SQL;TypeScript,BigQuery;DuckDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Ruby on Rails,NA,Pandas,Kubernetes;Maven (build tool),IntelliJ IDEA;IPython;PyCharm;RubyMine;Sublime Text;Visual Studio Code,Airtable;Clickup;Confluence;Jira;Notion;Trello,Discord;Google Meet;Signal;Slack;Zoom,NA,185000
Data scientist or machine learning specialist,Bash/Shell (all shells);C;C++;Java;Python;SQL,Databricks SQL,Amazon Web Services (AWS);Google Cloud,FastAPI;Fastify,Rasberry Pi,GTK;Hadoop;Hugging Face Transformers;Keras;mlflow;NumPy;Pandas;TensorFlow;Torch/PyTorch,APT;Docker;Make;Pip,Emacs;Goland;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;PyCharm;Vim,Confluence;Wikis,Google Chat;Zoom,ChatGPT;Google Gemini,200000
Data or business analyst,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Perl;PowerShell;Python;SQL;VBA,Microsoft Access;Microsoft SQL Server;Oracle,NA,jQuery,NA,.NET Framework (1.0 - 4.8),Visual Studio Solution,Notepad++;Vim;Visual Studio,Azure Devops,Microsoft Teams,ChatGPT,150000
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;Rust,NA,Amazon Web Services (AWS);Microsoft Azure,NA,NA,NumPy;Pandas;Ruff,Make,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Vim,Confluence;Jira;Markdown File;Microsoft Planner;Miro;Obsidian;Trello;Wikis,Cisco Webex Teams;Discord;IRC;Microsoft Teams;Signal;Slack;Telegram;Zoom,NA,75184
Data or business analyst,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Solidity;SQL,Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Databricks;Digital Ocean;Firebase;Google Cloud;PythonAnywhere;VMware,ASP.NET;Django;FastAPI;Flask;React;Remix,Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Apache Spark;CUDA;DirectX;Keras;Opencv;Pandas;Qt;React Native;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch;Xamarin,Ansible;APT;Chocolatey;Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip;Terraform;Visual Studio Solution,Android Studio;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Nano;Netbeans;Notepad++;PyCharm;Rider;Spyder;Sublime Text;Visual Studio;Visual Studio Code,Confluence;Jira;Markdown File,Discord;Google Chat;Google Meet;Skype;Slack;Telegram;Zoom,ChatGPT,664
Data engineer,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA,DuckDB;Microsoft SQL Server;PostgreSQL;SQLite,Digital Ocean;VMware,Flask;Node.js;Svelte,Arduino;PlatformIO;Rasberry Pi,Pandas,Chocolatey;npm;Pip;Vite,Jupyter Notebook/JupyterLab;Sublime Text;Vim;Visual Studio Code,Confluence;Jira;Obsidian,Google Chat;Google Meet;Telegram,NA,134454
Data engineer,Bash/Shell (all shells);C++;HTML/CSS;MATLAB;Python,Redis,NA,FastAPI,CMake;GNU GCC;LLVM's Clang;MSVC,NumPy;Qt;Scikit-Learn;TensorFlow,APT;Pip,Visual Studio Code,Confluence;Markdown File,Discord;Microsoft Teams,ChatGPT,89147
"Developer, AI",C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net),BigQuery;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,"Amazon Web Services (AWS);Digital Ocean;Google Cloud;Linode, now Akamai;Supabase;Vercel",AngularJS;ASP.NET CORE;Astro;FastAPI;Flask;Next.js;Node.js;React,NA,.NET (5+) ;CUDA;mlflow;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Docker;npm;Terraform,Goland;IPython;PyCharm;Visual Studio;Visual Studio Code,NA,Microsoft Teams,NA,115000
Data engineer,Python;SQL,Databricks SQL;IBM DB2;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Databricks,NA,NA,NA,Docker,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;Vim,Confluence;Lucid,Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot,80000
Data or business analyst,C#;R;SQL,Microsoft SQL Server,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn;Tidyverse,NA,PyCharm;RStudio;Visual Studio,Markdown File,Microsoft Teams,ChatGPT;WolframAlpha;Visual Studio Intellicode,67000
Data scientist or machine learning specialist,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;TypeScript,NA,Amazon Web Services (AWS);Google Cloud,Flask;React,Catch2;CMake;Cargo,Keras;mlflow;NumPy;Pandas;Ruff;Scikit-Learn;Torch/PyTorch,Homebrew;npm;Pip;Webpack,CLion;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Visual Studio Code,Markdown File;Obsidian;Trello,Zoom,ChatGPT;Claude;GitHub Copilot;Google Gemini;WolframAlpha,110000
Data or business analyst,Bash/Shell (all shells);C;PowerShell;Python;SQL,Microsoft SQL Server,Microsoft Azure,NA,NA,NA,Pip,IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,NA,Microsoft Teams,Bing AI;ChatGPT;Google Gemini,21052
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;PHP;PowerShell;Python;R;SQL,MySQL;Neo4J;PostgreSQL;Snowflake,Amazon Web Services (AWS),NA,Rasberry Pi,NumPy;Pandas;Scikit-Learn,NA,IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Confluence;Markdown File;Stack Overflow for Teams;Wikis,Discord;Google Meet;Slack,NA,200000
Data scientist or machine learning specialist,C++;Python;SQL,Cosmos DB;Databricks SQL;Redis,Databricks;Google Cloud;Microsoft Azure,Flask,CMake,Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes;Pip,Android Studio;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Sublime Text;Visual Studio Code,Azure Devops;Confluence;Jira;Markdown File,Cisco Webex Teams;Microsoft Teams;Slack;Zoom,ChatGPT;Snyk Code,3456
Data engineer,Python;SQL,MySQL;PostgreSQL;Presto;Redis;SQLite,Amazon Web Services (AWS),NA,Arduino;Rasberry Pi,Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas,Kubernetes;Make;Pacman;Pip;Terraform,Jupyter Notebook/JupyterLab;Neovim;PyCharm;Sublime Text;Vim;Visual Studio,Confluence;Jira;Linear;Notion,Google Meet;Microsoft Teams;Skype;Slack,ChatGPT,17227
Data scientist or machine learning specialist,Bash/Shell (all shells);Objective-C;Python;Swift,Databricks SQL,Amazon Web Services (AWS);Heroku,NA,NA,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;SwiftUI,Homebrew;Pip,IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Xcode,Confluence;Jira;Markdown File;Monday.com;Obsidian;Trello,Slack;Telegram;Zoom,ChatGPT;Claude;GitHub Copilot,23697
"Developer, AI",Bash/Shell (all shells);Python,NA,Databricks;Microsoft Azure,NA,NA,NumPy;Pandas;Ruff;Scikit-Learn,Pip,Vim;Visual Studio Code;VSCodium,Azure Devops;GitHub Discussions;Notion,IRC;Microsoft Teams,GitHub Copilot,44757
Data scientist or machine learning specialist,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Neo4J;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud,FastAPI;jQuery,NA,Apache Spark;CUDA;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Docker;Homebrew;Make,Emacs;Jupyter Notebook/JupyterLab,GitHub Discussions;Markdown File;Miro;Notion;Wikis,Discord;Google Meet;Microsoft Teams;Signal;Slack;Whatsapp;Zoom,ChatGPT;You.com,180000
"Developer, AI",Bash/Shell (all shells);C++;Python,NA,NA,NA,CMake;LLVM's Clang;Meson;Ninja,CUDA;NumPy;Opencv;TensorFlow;Torch/PyTorch,Docker;Google Test;Gradle;MSBuild;Ninja;Pip,Android Studio;Notepad++;PyCharm;Visual Studio,NA,Microsoft Teams,ChatGPT;Perplexity AI,113334
"Developer, AI",Go;PHP;TypeScript,MySQL;PostgreSQL;Redis;SQLite,NA,Astro;Express;NestJS;Node.js;React,NA,Electron,Docker;Homebrew;npm;pnpm,Goland;Helix;Neovim;Visual Studio Code;WebStorm,GitHub Discussions;Jira;Notion,Cisco Webex Teams;Google Meet;Slack;Zoom,ChatGPT;GitHub Copilot,330000
Data engineer,Java;JavaScript;Python;SQL,Cosmos DB;Elasticsearch;MongoDB;Neo4J,Amazon Web Services (AWS);Microsoft Azure,Django;Flask,Ninja,Opencv,npm,Eclipse;IntelliJ IDEA;IPython;Notepad++;PyCharm;Sublime Text,NA,NA,OpenAI Codex,190000
Data engineer,PowerShell;Python;SQL,Databricks SQL;Microsoft SQL Server;PostgreSQL;Snowflake,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,NA,NA,Apache Spark;Pandas,Ansible;Homebrew;MSBuild;NuGet;Visual Studio Solution,Jupyter Notebook/JupyterLab;Notepad++;RStudio;Visual Studio;Visual Studio Code,Azure Devops;Confluence;Jira,Google Chat;Microsoft Teams;Telegram;Zoom,ChatGPT;Google Gemini;WolframAlpha,89189
Data scientist or machine learning specialist,JavaScript;R;SQL,NA,Microsoft Azure,NA,NA,NA,NA,Notepad++;RStudio,Jira,Microsoft Teams,NA,132132
Data engineer,Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;R;SQL;TypeScript,Databricks SQL;MariaDB;MongoDB;Neo4J;Oracle;PostgreSQL;Redis;SQLite,Cloudflare;Digital Ocean;Hetzner;Managed Hosting;Microsoft Azure,FastAPI;Flask;Gatsby;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Symfony;Vue.js;WordPress,Rasberry Pi,Apache Spark;NumPy;Pandas,Ansible;APT;Composer;Docker;Homebrew;Make;npm;Pip;Vite;Webpack,DataGrip;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;PyCharm;RStudio;Vim;Visual Studio Code,Asana;Azure Devops;Confluence;Jira;Miro;Obsidian;Trello,Cisco Webex Teams;Discord;Microsoft Teams;Signal;Zoom,ChatGPT;Claude;Cody,79279
"Developer, AI",C#;Python;VBA,NA,NA,Flask,NA,.NET Framework (1.0 - 4.8);CUDA;Keras;NumPy;Opencv;Pandas;Ruff;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;NuGet;Pip,Visual Studio;Visual Studio Code,NA,Microsoft Teams;Skype;Slack;Zoom,Bing AI;ChatGPT;Claude;Google Gemini;Perplexity AI,30549
"Developer, AI",Python;SQL,BigQuery,Google Cloud,FastAPI,NA,CUDA;Hugging Face Transformers;mlflow;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes;Make;Pip;Terraform,IPython;Jupyter Notebook/JupyterLab;PyCharm;Vim,Jira;Miro;Monday.com,Google Meet;Slack;Zoom,GitHub Copilot;Google Gemini,123360
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,BigQuery;DuckDB;MySQL;PostgreSQL;SQLite,Cloudflare;Google Cloud;Oracle Cloud Infrastructure (OCI);Vercel,Svelte;WordPress,NA,NA,Docker;Homebrew;npm;Pip;Vite,Sublime Text;Visual Studio Code,NA,Discord;Google Meet;Slack;Telegram;Whatsapp,ChatGPT;Meta AI,23582
Data scientist or machine learning specialist,JavaScript;PHP;Python;SQL,Elasticsearch;MariaDB;PostgreSQL;SQLite,NA,jQuery,Rasberry Pi,Keras;NumPy;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Ansible;Chocolatey;Docker;Pip,Jupyter Notebook/JupyterLab;PyCharm;Vim,Confluence;Jira;Markdown File;Obsidian,Slack,ChatGPT;Google Gemini;Neeva AI;Tabnine;Whispr AI,92369
Data scientist or machine learning specialist,C++;Python,PostgreSQL;SQLite,NA,NA,NA,NumPy;Pandas;Qt,Make;MSBuild;Pip,Jupyter Notebook/JupyterLab;Spyder;Visual Studio Code,NA,Microsoft Teams,ChatGPT,1933
